Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions - 13th ICLS (%) - IC_GEN_MGTN
Afghanistan,AFG,2014,6.93
Afghanistan,AFG,2017,4.26
Afghanistan,AFG,2020,5.89
Angola,AGO,2009,14.78
Angola,AGO,2014,18.19
Argentina,ARG,2004,28.61
Argentina,ARG,2005,26.26
Argentina,ARG,2006,29.41
Argentina,ARG,2008,29.93
Argentina,ARG,2009,34.43
Argentina,ARG,2010,32.14
Argentina,ARG,2011,30.15
Argentina,ARG,2012,32.34
Argentina,ARG,2013,36.49
Argentina,ARG,2014,38.64
Argentina,ARG,2017,32.63
Argentina,ARG,2018,33.18
Argentina,ARG,2019,33.14
Argentina,ARG,2020,36.98
Australia,AUS,2010,33.53
Australia,AUS,2011,27.61
Australia,AUS,2012,29.89
Australia,AUS,2013,32.87
Australia,AUS,2014,34.99
Australia,AUS,2015,35.3
Australia,AUS,2016,36.23
Australia,AUS,2017,35.11
Australia,AUS,2018,33.85
Australia,AUS,2019,34.65
Australia,AUS,2020,34.16
Austria,AUT,2000,28.13
Austria,AUT,2001,29.38
Austria,AUT,2002,30.78
Austria,AUT,2003,28.5
Austria,AUT,2004,23.02
Austria,AUT,2005,21.5
Austria,AUT,2006,20.96
Austria,AUT,2007,21.0
Austria,AUT,2008,25.19
Austria,AUT,2009,23.25
Austria,AUT,2010,25.42
Austria,AUT,2011,26.07
Austria,AUT,2012,27.13
Austria,AUT,2013,26.33
Austria,AUT,2014,27.85
Austria,AUT,2015,27.88
Austria,AUT,2016,29.52
Austria,AUT,2017,29.19
Austria,AUT,2018,28.86
Austria,AUT,2019,32.01
Austria,AUT,2020,31.47
Bangladesh,BGD,2006,10.9
Bangladesh,BGD,2010,10.04
Bangladesh,BGD,2017,11.48
Barbados,BRB,2015,61.33
Barbados,BRB,2016,52.3
Barbados,BRB,2017,52.86
Barbados,BRB,2018,49.43
Barbados,BRB,2019,47.72
Belarus,BLR,2016,45.99
Belarus,BLR,2017,47.6
Belarus,BLR,2018,44.73
Belarus,BLR,2019,45.81
Belarus,BLR,2020,47.75
Belgium,BEL,2000,24.53
Belgium,BEL,2001,28.38
Belgium,BEL,2002,27.97
Belgium,BEL,2003,27.33
Belgium,BEL,2004,26.91
Belgium,BEL,2005,30.24
Belgium,BEL,2006,31.13
Belgium,BEL,2007,33.58
Belgium,BEL,2008,31.9
Belgium,BEL,2009,34.57
Belgium,BEL,2010,34.77
Belgium,BEL,2011,30.45
Belgium,BEL,2012,31.67
Belgium,BEL,2013,30.75
Belgium,BEL,2014,31.3
Belgium,BEL,2015,31.04
Belgium,BEL,2016,31.98
Belgium,BEL,2017,32.91
Belgium,BEL,2018,33.45
Belgium,BEL,2019,31.88
Belgium,BEL,2020,34.55
Belize,BLZ,2015,39.14
Belize,BLZ,2016,41.71
Bhutan,BTN,2018,20.24
Bhutan,BTN,2019,17.77
Bhutan,BTN,2020,18.95
Bolivia,BOL,2000,37.9
Bolivia,BOL,2001,18.52
Bolivia,BOL,2005,31.64
Bolivia,BOL,2007,31.29
Bolivia,BOL,2008,35.12
Bolivia,BOL,2009,38.81
Bolivia,BOL,2011,35.55
Bolivia,BOL,2012,32.03
Bolivia,BOL,2013,31.09
Bolivia,BOL,2014,35.46
Bolivia,BOL,2015,34.45
Bolivia,BOL,2016,29.99
Bolivia,BOL,2017,26.75
Bolivia,BOL,2018,30.44
Bolivia,BOL,2019,28.49
Bolivia,BOL,2020,30.93
Bosnia and Herzegovina,BIH,2006,23.73
Bosnia and Herzegovina,BIH,2007,20.27
Bosnia and Herzegovina,BIH,2008,33.35
Bosnia and Herzegovina,BIH,2009,27.67
Bosnia and Herzegovina,BIH,2010,30.16
Bosnia and Herzegovina,BIH,2011,22.6
Bosnia and Herzegovina,BIH,2012,23.03
Bosnia and Herzegovina,BIH,2013,21.42
Bosnia and Herzegovina,BIH,2014,24.16
Bosnia and Herzegovina,BIH,2015,24.18
Bosnia and Herzegovina,BIH,2016,18.78
Bosnia and Herzegovina,BIH,2017,18.83
Bosnia and Herzegovina,BIH,2018,26.12
Bosnia and Herzegovina,BIH,2019,25.43
Bosnia and Herzegovina,BIH,2020,24.89
Botswana,BWA,2019,57.77
Botswana,BWA,2020,56.68
Brazil,BRA,2002,35.02
Brazil,BRA,2003,34.22
Brazil,BRA,2004,35.67
Brazil,BRA,2005,38.07
Brazil,BRA,2006,36.3
Brazil,BRA,2007,37.68
Brazil,BRA,2008,35.83
Brazil,BRA,2009,35.22
Brazil,BRA,2011,36.58
Brazil,BRA,2012,35.62
Brazil,BRA,2013,36.18
Brazil,BRA,2014,36.48
Brazil,BRA,2015,37.1
Brazil,BRA,2016,37.56
Brazil,BRA,2017,37.66
Brazil,BRA,2018,37.86
Brazil,BRA,2019,37.59
Brazil,BRA,2020,35.47
Brunei,BRN,2014,32.51
Brunei,BRN,2017,36.97
Brunei,BRN,2018,34.55
Brunei,BRN,2019,32.26
Brunei,BRN,2020,37.43
Bulgaria,BGR,2000,37.46
Bulgaria,BGR,2001,40.52
Bulgaria,BGR,2002,42.31
Bulgaria,BGR,2003,37.8
Bulgaria,BGR,2004,41.43
Bulgaria,BGR,2005,40.61
Bulgaria,BGR,2006,37.56
Bulgaria,BGR,2007,36.41
Bulgaria,BGR,2008,36.51
Bulgaria,BGR,2009,35.79
Bulgaria,BGR,2010,38.63
Bulgaria,BGR,2011,37.0
Bulgaria,BGR,2012,35.5
Bulgaria,BGR,2013,36.0
Bulgaria,BGR,2014,35.36
Bulgaria,BGR,2015,37.38
Bulgaria,BGR,2016,39.28
Bulgaria,BGR,2017,39.29
Bulgaria,BGR,2018,39.28
Bulgaria,BGR,2019,39.25
Bulgaria,BGR,2020,42.45
Burkina Faso,BFA,2018,23.95
Burundi,BDI,2020,25.67
Cambodia,KHM,2000,15.36
Cambodia,KHM,2001,10.56
Cambodia,KHM,2007,27.65
Cambodia,KHM,2008,18.7
Cambodia,KHM,2009,17.49
Cambodia,KHM,2010,12.8
Cambodia,KHM,2011,14.64
Cambodia,KHM,2012,16.67
Cambodia,KHM,2013,22.47
Cambodia,KHM,2014,15.89
Cambodia,KHM,2015,25.09
Cambodia,KHM,2016,33.14
Cambodia,KHM,2017,20.15
Cambodia,KHM,2019,29.23
Chile,CHL,2000,35.52
Chile,CHL,2003,42.6
Chile,CHL,2006,28.75
Chile,CHL,2009,28.29
Chile,CHL,2011,48.55
Chile,CHL,2013,44.65
Chile,CHL,2015,46.41
Chile,CHL,2017,43.07
Chile,CHL,2020,37.47
Colombia,COL,2002,26.99
Colombia,COL,2003,28.71
Colombia,COL,2004,28.46
Colombia,COL,2005,26.97
Colombia,COL,2008,28.86
Colombia,COL,2009,26.83
Colombia,COL,2010,26.42
Colombia,COL,2011,27.29
Colombia,COL,2012,27.4
Colombia,COL,2013,28.26
Colombia,COL,2014,27.94
Colombia,COL,2015,28.34
Colombia,COL,2016,28.99
Colombia,COL,2017,28.97
Colombia,COL,2018,29.47
Colombia,COL,2019,30.34
Colombia,COL,2020,30.29
Cook Islands,COK,2016,31.38
Cook Islands,COK,2019,55.98
Costa Rica,CRI,2001,25.24
Costa Rica,CRI,2002,26.25
Costa Rica,CRI,2003,29.05
Costa Rica,CRI,2004,26.19
Costa Rica,CRI,2005,24.88
Costa Rica,CRI,2006,29.92
Costa Rica,CRI,2007,26.57
Costa Rica,CRI,2017,41.43
Costa Rica,CRI,2018,37.52
Costa Rica,CRI,2019,42.77
Cote d'Ivoire,CIV,2016,22.16
Cote d'Ivoire,CIV,2017,22.16
Croatia,HRV,2002,26.75
Croatia,HRV,2003,28.26
Croatia,HRV,2004,17.51
Croatia,HRV,2005,28.21
Croatia,HRV,2006,27.47
Croatia,HRV,2007,22.72
Croatia,HRV,2008,32.1
Croatia,HRV,2009,37.2
Croatia,HRV,2010,27.43
Croatia,HRV,2011,23.57
Croatia,HRV,2012,25.77
Croatia,HRV,2013,23.87
Croatia,HRV,2014,24.37
Croatia,HRV,2015,26.12
Croatia,HRV,2016,29.5
Croatia,HRV,2017,27.88
Croatia,HRV,2018,26.09
Croatia,HRV,2019,24.27
Croatia,HRV,2020,29.13
Cyprus,CYP,2000,18.49
Cyprus,CYP,2001,18.55
Cyprus,CYP,2002,17.3
Cyprus,CYP,2003,17.94
Cyprus,CYP,2004,15.57
Cyprus,CYP,2005,17.07
Cyprus,CYP,2006,17.23
Cyprus,CYP,2007,17.69
Cyprus,CYP,2008,20.44
Cyprus,CYP,2009,13.76
Cyprus,CYP,2010,14.32
Cyprus,CYP,2011,14.67
Cyprus,CYP,2012,16.44
Cyprus,CYP,2013,18.7
Cyprus,CYP,2014,18.14
Cyprus,CYP,2015,25.22
Cyprus,CYP,2016,26.99
Cyprus,CYP,2017,22.35
Cyprus,CYP,2018,19.7
Cyprus,CYP,2019,23.74
Cyprus,CYP,2020,25.22
Czechia,CZE,2000,27.83
Czechia,CZE,2001,28.9
Czechia,CZE,2002,28.77
Czechia,CZE,2003,30.37
Czechia,CZE,2004,29.42
Czechia,CZE,2005,31.6
Czechia,CZE,2006,30.7
Czechia,CZE,2007,29.5
Czechia,CZE,2008,29.29
Czechia,CZE,2009,28.91
Czechia,CZE,2010,27.84
Czechia,CZE,2011,23.76
Czechia,CZE,2012,22.92
Czechia,CZE,2013,24.34
Czechia,CZE,2014,26.31
Czechia,CZE,2015,27.52
Czechia,CZE,2016,23.02
Czechia,CZE,2017,23.96
Czechia,CZE,2018,26.2
Czechia,CZE,2019,26.61
Czechia,CZE,2020,27.43
Democratic Republic of Congo,COD,2005,5.45
Democratic Republic of Congo,COD,2020,29.58
Denmark,DNK,2000,18.69
Denmark,DNK,2001,16.66
Denmark,DNK,2002,17.99
Denmark,DNK,2003,20.0
Denmark,DNK,2004,18.91
Denmark,DNK,2005,20.56
Denmark,DNK,2006,19.16
Denmark,DNK,2007,25.3
Denmark,DNK,2008,18.29
Denmark,DNK,2009,18.76
Denmark,DNK,2010,17.65
Denmark,DNK,2011,28.5
Denmark,DNK,2012,24.48
Denmark,DNK,2013,23.7
Denmark,DNK,2014,23.39
Denmark,DNK,2015,26.19
Denmark,DNK,2016,28.01
Denmark,DNK,2017,27.0
Denmark,DNK,2018,26.33
Denmark,DNK,2019,26.63
Denmark,DNK,2020,28.03
Dominican Republic,DOM,2000,36.94
Dominican Republic,DOM,2001,40.03
Dominican Republic,DOM,2002,31.5
Dominican Republic,DOM,2003,39.05
Dominican Republic,DOM,2004,40.33
Dominican Republic,DOM,2005,45.09
Dominican Republic,DOM,2006,45.0
Dominican Republic,DOM,2007,38.58
Dominican Republic,DOM,2008,37.51
Dominican Republic,DOM,2009,45.37
Dominican Republic,DOM,2010,46.2
Dominican Republic,DOM,2011,51.83
Dominican Republic,DOM,2012,57.97
Dominican Republic,DOM,2013,46.59
Dominican Republic,DOM,2014,46.67
Dominican Republic,DOM,2015,48.27
Dominican Republic,DOM,2016,47.62
Dominican Republic,DOM,2017,51.34
Dominican Republic,DOM,2018,45.55
Dominican Republic,DOM,2019,50.63
Dominican Republic,DOM,2020,47.62
East Timor,TLS,2010,8.58
East Timor,TLS,2013,32.98
East Timor,TLS,2016,24.51
Ecuador,ECU,2003,34.41
Ecuador,ECU,2004,32.92
Ecuador,ECU,2005,33.67
Ecuador,ECU,2006,30.18
Ecuador,ECU,2007,40.11
Ecuador,ECU,2008,33.6
Ecuador,ECU,2009,32.68
Ecuador,ECU,2010,33.55
Ecuador,ECU,2011,43.86
Ecuador,ECU,2012,43.23
Ecuador,ECU,2013,34.57
Ecuador,ECU,2014,35.7
Ecuador,ECU,2015,33.51
Ecuador,ECU,2016,34.02
Ecuador,ECU,2017,35.31
Ecuador,ECU,2018,35.53
Ecuador,ECU,2019,37.27
Ecuador,ECU,2020,39.44
Egypt,EGY,2009,14.0
Egypt,EGY,2010,13.88
Egypt,EGY,2011,13.51
Egypt,EGY,2012,9.73
Egypt,EGY,2013,7.12
Egypt,EGY,2015,6.42
Egypt,EGY,2016,7.11
Egypt,EGY,2017,6.37
Egypt,EGY,2018,7.35
Egypt,EGY,2019,7.09
Egypt,EGY,2020,20.71
El Salvador,SLV,2010,37.64
El Salvador,SLV,2011,42.93
El Salvador,SLV,2012,55.83
El Salvador,SLV,2013,42.69
El Salvador,SLV,2014,35.58
El Salvador,SLV,2015,40.67
El Salvador,SLV,2016,34.08
El Salvador,SLV,2017,32.65
El Salvador,SLV,2018,35.74
El Salvador,SLV,2019,43.13
El Salvador,SLV,2020,48.82
Estonia,EST,2000,34.83
Estonia,EST,2001,38.17
Estonia,EST,2002,37.17
Estonia,EST,2003,34.8
Estonia,EST,2004,41.23
Estonia,EST,2005,41.04
Estonia,EST,2006,39.63
Estonia,EST,2007,34.91
Estonia,EST,2008,36.6
Estonia,EST,2009,34.34
Estonia,EST,2010,38.37
Estonia,EST,2011,34.63
Estonia,EST,2012,31.62
Estonia,EST,2013,32.81
Estonia,EST,2014,30.84
Estonia,EST,2015,27.84
Estonia,EST,2016,31.63
Estonia,EST,2017,34.33
Estonia,EST,2018,33.24
Estonia,EST,2019,35.11
Estonia,EST,2020,35.83
Eswatini,SWZ,2016,54.64
Ethiopia,ETH,2005,15.07
Ethiopia,ETH,2013,21.08
Fiji,FJI,2011,30.71
Fiji,FJI,2016,38.58
Finland,FIN,2000,27.55
Finland,FIN,2001,29.74
Finland,FIN,2002,30.23
Finland,FIN,2003,30.93
Finland,FIN,2004,30.68
Finland,FIN,2005,32.67
Finland,FIN,2006,33.85
Finland,FIN,2007,32.28
Finland,FIN,2008,33.58
Finland,FIN,2009,34.71
Finland,FIN,2010,34.34
Finland,FIN,2011,31.09
Finland,FIN,2012,29.67
Finland,FIN,2013,29.47
Finland,FIN,2014,34.26
Finland,FIN,2015,33.49
Finland,FIN,2016,34.06
Finland,FIN,2017,31.45
Finland,FIN,2018,32.02
Finland,FIN,2019,36.76
Finland,FIN,2020,37.48
France,FRA,2005,36.37
France,FRA,2006,37.01
France,FRA,2007,36.46
France,FRA,2008,36.79
France,FRA,2009,37.37
France,FRA,2010,38.59
France,FRA,2011,39.13
France,FRA,2012,39.2
France,FRA,2013,35.58
France,FRA,2014,32.03
France,FRA,2015,30.93
France,FRA,2016,31.07
France,FRA,2017,32.64
France,FRA,2018,34.38
France,FRA,2019,34.3
France,FRA,2020,34.95
Gambia,GMB,2012,32.66
Georgia,GEO,2009,29.99
Georgia,GEO,2010,29.77
Georgia,GEO,2011,33.52
Georgia,GEO,2012,31.01
Georgia,GEO,2013,32.75
Georgia,GEO,2014,33.76
Georgia,GEO,2015,38.79
Georgia,GEO,2016,44.17
Georgia,GEO,2017,31.99
Georgia,GEO,2018,35.68
Georgia,GEO,2019,36.65
Georgia,GEO,2020,33.76
Germany,DEU,2000,20.66
Germany,DEU,2001,20.59
Germany,DEU,2002,21.99
Germany,DEU,2003,23.06
Germany,DEU,2004,22.76
Germany,DEU,2005,23.56
Germany,DEU,2006,24.19
Germany,DEU,2007,24.77
Germany,DEU,2008,25.69
Germany,DEU,2009,26.82
Germany,DEU,2010,27.51
Germany,DEU,2011,27.94
Germany,DEU,2012,27.06
Germany,DEU,2013,27.52
Germany,DEU,2014,27.76
Germany,DEU,2015,28.04
Germany,DEU,2016,28.09
Germany,DEU,2017,28.21
Germany,DEU,2018,28.58
Germany,DEU,2019,28.63
Germany,DEU,2020,27.08
Ghana,GHA,2006,11.61
Ghana,GHA,2013,26.67
Ghana,GHA,2015,33.11
Ghana,GHA,2017,26.56
Greece,GRC,2000,25.0
Greece,GRC,2001,24.81
Greece,GRC,2002,25.33
Greece,GRC,2003,26.36
Greece,GRC,2004,25.76
Greece,GRC,2005,26.36
Greece,GRC,2006,26.66
Greece,GRC,2007,28.03
Greece,GRC,2008,28.3
Greece,GRC,2009,29.8
Greece,GRC,2010,29.85
Greece,GRC,2011,22.08
Greece,GRC,2012,22.17
Greece,GRC,2013,25.66
Greece,GRC,2014,27.75
Greece,GRC,2015,24.76
Greece,GRC,2016,24.7
Greece,GRC,2017,29.88
Greece,GRC,2018,30.4
Greece,GRC,2019,30.54
Greece,GRC,2020,28.44
Guatemala,GTM,2003,25.52
Guatemala,GTM,2004,46.56
Guatemala,GTM,2006,32.62
Guatemala,GTM,2010,33.15
Guatemala,GTM,2011,60.73
Guatemala,GTM,2012,35.57
Guatemala,GTM,2013,29.4
Guatemala,GTM,2014,35.44
Guatemala,GTM,2015,34.63
Guatemala,GTM,2016,39.17
Guatemala,GTM,2017,34.5
Guatemala,GTM,2018,37.79
Guatemala,GTM,2019,39.36
Guyana,GUY,2018,38.47
Guyana,GUY,2019,45.87
Honduras,HND,2005,33.15
Honduras,HND,2006,33.83
Honduras,HND,2007,33.77
Honduras,HND,2008,33.32
Honduras,HND,2009,34.25
Honduras,HND,2010,35.54
Honduras,HND,2011,31.56
Honduras,HND,2012,35.89
Honduras,HND,2013,36.21
Honduras,HND,2014,42.32
Honduras,HND,2015,42.39
Honduras,HND,2016,41.08
Honduras,HND,2017,41.04
Honduras,HND,2018,47.11
Honduras,HND,2019,47.47
Honduras,HND,2020,39.66
Hungary,HUN,2000,34.19
Hungary,HUN,2001,37.65
Hungary,HUN,2002,37.86
Hungary,HUN,2003,37.19
Hungary,HUN,2004,36.65
Hungary,HUN,2005,39.4
Hungary,HUN,2006,40.94
Hungary,HUN,2007,39.04
Hungary,HUN,2008,40.78
Hungary,HUN,2009,39.9
Hungary,HUN,2010,39.96
Hungary,HUN,2011,38.22
Hungary,HUN,2012,36.26
Hungary,HUN,2013,38.26
Hungary,HUN,2014,37.59
Hungary,HUN,2015,39.06
Hungary,HUN,2016,37.72
Hungary,HUN,2017,37.64
Hungary,HUN,2018,37.05
Hungary,HUN,2019,35.9
Hungary,HUN,2020,36.78
Iceland,ISL,2000,30.41
Iceland,ISL,2001,30.18
Iceland,ISL,2002,32.26
Iceland,ISL,2003,40.0
Iceland,ISL,2004,38.12
Iceland,ISL,2005,30.04
Iceland,ISL,2006,33.97
Iceland,ISL,2007,33.05
Iceland,ISL,2008,36.96
Iceland,ISL,2009,38.35
Iceland,ISL,2010,37.14
Iceland,ISL,2011,39.09
Iceland,ISL,2012,38.2
Iceland,ISL,2013,37.87
Iceland,ISL,2014,38.24
Iceland,ISL,2015,39.51
Iceland,ISL,2016,34.76
Iceland,ISL,2017,32.96
Iceland,ISL,2018,43.05
Iceland,ISL,2019,44.01
Iceland,ISL,2020,38.62
India,IND,2010,12.15
India,IND,2012,12.88
India,IND,2018,13.68
India,IND,2019,16.45
India,IND,2020,16.45
Indonesia,IDN,2007,15.81
Indonesia,IDN,2008,16.44
Indonesia,IDN,2009,18.06
Indonesia,IDN,2010,19.43
Iran,IRN,2009,1.87
Iran,IRN,2010,7.35
Iran,IRN,2011,7.09
Iran,IRN,2012,1.19
Iran,IRN,2013,3.57
Iran,IRN,2014,4.51
Iran,IRN,2015,11.2
Iran,IRN,2016,11.72
Iran,IRN,2017,20.46
Iran,IRN,2018,21.73
Iran,IRN,2019,19.82
Iran,IRN,2020,18.68
Iraq,IRQ,2007,13.65
Iraq,IRQ,2012,22.68
Ireland,IRL,2000,33.69
Ireland,IRL,2001,38.35
Ireland,IRL,2002,38.66
Ireland,IRL,2003,40.8
Ireland,IRL,2004,39.72
Ireland,IRL,2005,43.59
